"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to households","Dollars","81","millions","6","v62425552","1.1.1.83","332932","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-profit institutions serving households","Dollars","81","millions","6","v62425553","1.1.1.99","30188","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-profit institutions serving households","Dollars","81","millions","6","v62425553","1.1.1.99","30420","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-profit institutions serving households","Dollars","81","millions","6","v62425553","1.1.1.99","26912","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-profit institutions serving households","Dollars","81","millions","6","v62425553","1.1.1.99","24768","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-profit institutions serving households","Dollars","81","millions","6","v62425553","1.1.1.99","26112","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies","Dollars","81","millions","6","v62425554","1.1.1.100","156140","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies","Dollars","81","millions","6","v62425554","1.1.1.100","125324","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies","Dollars","81","millions","6","v62425554","1.1.1.100","82516","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies","Dollars","81","millions","6","v62425554","1.1.1.100","91356","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies","Dollars","81","millions","6","v62425554","1.1.1.100","76836","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on products and imports","Dollars","81","millions","6","v62425555","1.1.1.101","25040","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on products and imports","Dollars","81","millions","6","v62425555","1.1.1.101","24752","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on products and imports","Dollars","81","millions","6","v62425555","1.1.1.101","22100","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on products and imports","Dollars","81","millions","6","v62425555","1.1.1.101","24448","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on products and imports","Dollars","81","millions","6","v62425555","1.1.1.101","21964","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on production","Dollars","81","millions","6","v62425556","1.1.1.104","131100","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on production","Dollars","81","millions","6","v62425556","1.1.1.104","100572","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on production","Dollars","81","millions","6","v62425556","1.1.1.104","60416","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on production","Dollars","81","millions","6","v62425556","1.1.1.104","66908","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Subsidies on production","Dollars","81","millions","6","v62425556","1.1.1.104","54872","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-residents","Dollars","81","millions","6","v62425557","1.1.1.129","5796","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-residents","Dollars","81","millions","6","v62425557","1.1.1.129","5712","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-residents","Dollars","81","millions","6","v62425557","1.1.1.129","6592","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-residents","Dollars","81","millions","6","v62425557","1.1.1.129","7624","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Current transfers to non-residents","Dollars","81","millions","6","v62425557","1.1.1.129","5248","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425558","1.1.1.132","8104","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425558","1.1.1.132","8168","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425558","1.1.1.132","8756","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425558","1.1.1.132","8528","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Capital transfers","Dollars","81","millions","6","v62425558","1.1.1.132","10896","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To households","Dollars","81","millions","6","v62425559","1.1.1.133","368","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To households","Dollars","81","millions","6","v62425559","1.1.1.133","352","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To households","Dollars","81","millions","6","v62425559","1.1.1.133","328","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To households","Dollars","81","millions","6","v62425559","1.1.1.133","224","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To households","Dollars","81","millions","6","v62425559","1.1.1.133","324","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-profit institutions serving households","Dollars","81","millions","6","v62425560","1.1.1.134","476","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-profit institutions serving households","Dollars","81","millions","6","v62425560","1.1.1.134","500","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-profit institutions serving households","Dollars","81","millions","6","v62425560","1.1.1.134","416","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-profit institutions serving households","Dollars","81","millions","6","v62425560","1.1.1.134","512","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-profit institutions serving households","Dollars","81","millions","6","v62425560","1.1.1.134","484","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To business","Dollars","81","millions","6","v62425561","1.1.1.135","7260","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To business","Dollars","81","millions","6","v62425561","1.1.1.135","7316","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To business","Dollars","81","millions","6","v62425561","1.1.1.135","8012","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To business","Dollars","81","millions","6","v62425561","1.1.1.135","7640","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To business","Dollars","81","millions","6","v62425561","1.1.1.135","10088","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-residents","Dollars","81","millions","6","v62425562","1.1.1.144","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-residents","Dollars","81","millions","6","v62425562","1.1.1.144","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-residents","Dollars","81","millions","6","v62425562","1.1.1.144","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","To non-residents","Dollars","81","millions","6","v62425562","1.1.1.144","152","","","","0"
